shape_id,shape_pt_lat,shape_pt_lon,shape_pt_sequence,shape_dist_traveled
1335391,28.0572417,-82.4114377,140,null
1335391,28.0572342,-82.4109141,141,null
1335391,28.0572219,-82.4130934,142,null
1335391,28.0572212,-82.4129732,143,null
1335391,28.0572417,-82.4114377,144,null
1335391,28.0572219,-82.4130934,145,null
1335391,28.0573505,-82.4130950,146,null
1335391,28.0580326,-82.4130964,147,null
1335391,28.0586832,-82.4130967,148,null
1335391,28.0590185,-82.4130917,149,null
1335391,28.0593131,-82.4130902,150,null
1335391,28.0596764,-82.4130885,151,null
1335391,28.0591628,-82.4130271,152,null
1335391,28.0591688,-82.4134026,153,null
1335391,28.0596776,-82.4133430,154,null
1335391,28.0593155,-82.4133456,155,null
1335391,28.0590457,-82.4133454,156,null
1335391,28.0590184,-82.4133452,157,null
1335391,28.0586078,-82.4133416,158,null
1335391,28.0573476,-82.4133337,159,null
1335391,28.0572235,-82.4133327,160,null
1335391,28.0578225,-82.4156875,161,null
1335391,28.0577081,-82.4154040,162,null
1335391,28.0575532,-82.4150747,163,null
1335391,28.0575228,-82.4150022,164,null
1335391,28.0573951,-82.4146472,165,null
1335391,28.0573036,-82.4143126,166,null
1335391,28.0572531,-82.4140533,167,null
1335391,28.0572343,-82.4137712,168,null
1335391,28.0572224,-82.4134684,169,null
1335391,28.0572235,-82.4133327,170,null
1335391,28.0580609,-82.4160442,171,null
1335391,28.0580866,-82.4176938,172,null
1335391,28.0580861,-82.4176277,173,null
1335391,28.0580899,-82.4172330,174,null
1335391,28.0580636,-82.4167827,175,null
1335391,28.0580467,-82.4166230,176,null
1335391,28.0580377,-82.4165384,177,null
1335391,28.0580181,-82.4163535,178,null
1335391,28.0579719,-82.4161240,179,null
